Rank,Name,Year,Position,Binary_SP,WAR,완투,완봉,승,패,세이브,홀드,이닝,자책점,4구,삼진,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
253,성준,1996,P,1,0.9,0,0,3,3,0,0,50,22,31,36,3.96,3.96,3.96,3.85,4.42,1.66
254,류택현,1996,P,0,0.9,0,0,0,1,1,0,35,10,21,28,2.57,2.83,2.83,2.94,3.27,1.51
255,박상근,2000,P,0,0.9,0,0,0,1,0,0,44,21,34,21,4.3,4.5,4.5,4.42,5.64,1.64
256,최용호,1998,P,0,0.9,0,0,2,0,2,0,54.2,20,29,55,3.29,3.95,3.95,4.12,2.87,1.12
257,이상군,1999,P,0,0.89,0,0,5,5,1,0,57,28,14,38,4.42,5.37,5.37,5.37,4.13,1.28
258,이광우,1998,P,0,0.89,2,0,5,6,0,0,99.2,48,23,43,4.33,4.7,4.7,4.9,4.65,1.24
259,임창식,1998,P,0,0.85,0,0,2,2,1,0,83.1,33,35,35,3.56,4.86,4.86,4.83,5.01,1.33
260,이혜천,2000,P,0,0.84,0,0,5,6,1,11,84.1,47,50,76,5.02,5.44,5.44,5.67,4.52,1.64
261,김정수,1999,P,0,0.84,0,0,4,1,1,0,35.1,18,13,43,4.58,4.84,4.84,4.63,3.69,1.22
262,최창양,1998,P,0,0.83,0,0,1,0,0,0,27.2,10,14,19,3.25,3.25,3.25,3.1,3.7,1.41
263,김홍집,1999,P,0,0.83,0,0,2,2,4,0,52,29,20,45,5.02,5.37,5.37,5.41,4.19,1.37
264,이재만,1996,P,0,0.82,0,0,1,1,0,0,33,11,16,19,3,3.27,3.27,3.14,4.4,1.18
265,임경완,2000,P,0,0.81,0,0,0,2,0,1,30.1,13,9,19,3.86,3.86,3.86,3.83,5.25,1.22
266,조규제,1998,P,0,0.81,0,0,5,4,2,0,56,26,16,40,4.18,4.5,4.5,4.49,4.11,1.45
267,김민기,1999,P,0,0.81,0,0,4,2,1,0,37.2,19,12,37,4.54,4.54,4.54,4.74,4.72,1.3
268,오철민,1998,P,1,0.79,0,0,5,13,1,0,103.1,54,44,72,4.7,5.23,5.23,5.02,4.73,1.46
269,가득염,1998,P,0,0.79,0,0,2,2,1,0,52.1,24,21,30,4.13,4.47,4.47,4.38,4.26,1.32
270,고형욱,1998,P,0,0.77,1,0,2,0,0,0,34,13,12,8,3.44,3.71,3.71,3.69,4.79,1.18
271,차명석,1998,P,0,0.77,0,0,3,4,3,0,77.1,34,18,43,3.96,4.54,4.54,4.73,3.79,1.24
272,윤형배,1998,P,0,0.75,0,0,0,5,0,0,46.1,21,16,14,4.08,4.27,4.27,4.25,4.27,1.49
273,정현욱,1999,P,1,0.75,0,0,3,7,0,0,78.2,44,29,56,5.03,6.18,6.18,5.86,4.99,1.39
274,김경원,1996,P,0,0.73,0,0,3,7,9,0,47.1,18,20,42,3.42,3.61,3.61,3.75,2.74,1.27
275,이상열,1997,P,0,0.73,0,0,1,5,2,0,51.2,24,23,31,4.18,4.18,4.18,4.32,4.98,1.37
276,곽채진,1997,P,0,0.73,0,0,0,1,1,0,57,20,19,50,3.16,4.89,4.89,4.69,2.21,1.32
277,전병호,1999,P,0,0.73,0,0,3,2,0,0,71.1,45,27,39,5.68,6.18,6.18,5.87,5.33,1.64
278,김원형,1996,P,1,0.72,1,0,5,8,0,0,126.2,58,51,69,4.12,5.04,5.04,4.99,4.01,1.45
279,김상현,1997,P,0,0.7,0,0,0,0,0,0,30,12,13,13,3.6,3.6,3.6,3.46,4.61,1.73
280,박지철,1996,P,0,0.7,0,0,1,9,2,0,99.2,52,54,53,4.7,5.24,5.24,4.95,4.53,1.53
281,정원욱,2000,P,0,0.69,0,0,0,0,0,1,39.1,21,13,31,4.81,4.81,4.81,4.78,3.67,1.4
282,유현승,1996,P,1,0.69,1,1,4,5,0,0,58.2,27,15,31,4.14,4.45,4.45,4.4,4.06,1.28
283,정수찬,1997,P,0,0.67,1,0,1,1,2,0,44.2,19,14,18,3.83,4.43,4.43,4.37,3.83,1.57
284,신영균,1999,P,0,0.67,0,0,1,0,0,0,21.2,9,6,14,3.74,3.74,3.74,3.91,4.76,1.25
285,송유석,1997,P,0,0.66,0,0,2,7,1,0,78.1,38,34,41,4.37,4.71,4.71,4.93,4.21,1.53
286,정명원,2000,P,1,0.66,0,0,5,2,0,0,61,27,21,34,3.98,5.16,5.16,5.41,3.89,1.57
287,앤더슨,1998,P,0,0.66,0,0,4,7,21,0,55.2,22,19,30,3.56,4.37,4.37,4.55,4.04,1.29
288,박보현,1997,P,0,0.63,0,0,0,0,1,0,44.2,21,19,21,4.23,4.43,4.43,4.26,4.33,1.41
289,김인철,1997,RF,0,0.63,0,0,0,0,1,0,34,13,18,11,3.44,4.24,4.24,4.06,5.42,1.41
290,차명주,1997,P,1,0.63,0,0,7,9,0,0,107.2,56,55,64,4.68,5.43,5.43,5.22,4.24,1.66
291,류택현,1997,P,0,0.63,0,0,0,2,0,0,40,15,24,36,3.38,4.05,4.05,4.24,2.86,1.48
292,송진우,1997,P,1,0.62,5,1,6,12,0,0,146.2,75,49,73,4.6,5.22,5.22,5.39,4.64,1.4
293,권명철,1997,P,0,0.62,0,0,3,2,0,0,29.1,9,8,25,2.76,3.68,3.68,3.85,2.19,1.02
294,최영필,1999,P,0,0.62,0,0,3,4,1,0,88.2,55,37,53,5.58,6.09,6.09,6.15,5.55,1.61
295,한용덕,1996,P,1,0.62,3,1,8,8,1,0,111.1,54,22,57,4.37,4.77,4.77,4.95,4.02,1.19
296,최재호,1996,P,0,0.62,1,1,9,5,5,0,126.1,68,76,66,4.84,5.2,5.2,5.05,4.74,1.59
297,강병규,1996,P,1,0.61,2,0,7,11,0,0,121.2,54,45,55,3.99,4.66,4.66,4.84,4.26,1.35
