Rank,Name,Year,Position,Binary_SP,WAR,완투,완봉,승,패,세이브,홀드,이닝,자책점,4구,삼진,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
817,진필중,2002,P,0,1.13,0,0,4,5,31,0,62.1,24,16,58,3.47,4.04,4.04,4.18,3.38,1.22
818,위재영,2002,P,1,1.12,0,0,5,10,0,0,104,53,46,74,4.59,5.02,5.02,4.92,5.25,1.58
819,마일영,2002,P,1,1.12,0,0,7,4,0,0,130.1,66,69,98,4.56,5.25,5.25,5.14,4.92,1.54
820,박충식,2002,P,0,1.12,0,0,5,3,8,12,47.2,21,5,33,3.97,3.97,3.97,3.91,3.39,1.07
821,김풍철,2002,P,0,1.11,0,0,1,3,1,0,54,22,16,44,3.67,4,4,4.08,3.86,1.2
822,조용준,2003,P,0,1.11,0,0,2,7,26,1,53.2,21,18,39,3.52,4.36,4.36,4.22,3.23,1.3
823,안영명,2003,P,0,1.09,0,0,3,0,2,1,44,19,15,26,3.89,3.89,3.89,3.69,4.52,1.34
824,카브레라,2004,P,0,1.08,0,0,4,4,12,0,102.2,53,50,85,4.65,5,5,5.09,4.08,1.45
825,오상민,2004,P,0,1.08,0,0,2,0,0,5,31,8,10,24,2.32,2.9,2.9,2.87,3.31,1.1
826,경헌호,2005,P,0,1.08,0,0,0,2,9,4,54.1,24,14,37,3.98,4.14,4.14,4.2,3.54,1.12
827,신승현,2004,P,0,1.08,0,0,2,7,0,3,107,58,32,64,4.88,5.05,5.05,5.14,4.72,1.22
828,김수경,2001,P,1,1.06,0,0,6,6,0,0,97,56,50,59,5.2,5.57,5.57,5.57,5.49,1.56
829,정민철,2005,P,1,1.06,0,0,9,3,0,0,115.2,62,26,56,4.82,5.45,5.45,5.23,4.53,1.3
830,이원식,2003,P,0,1.03,0,0,2,1,0,1,38,13,7,24,3.08,3.55,3.55,3.52,3.9,1.08
831,전병호,2003,P,0,1.02,0,0,8,4,1,6,102,57,37,54,5.03,5.21,5.21,5.06,4.4,1.44
832,류택현,2003,P,0,1.02,0,0,1,2,0,12,37.2,13,19,44,3.11,3.35,3.35,3.47,3.8,1.38
833,송신영,2003,P,0,1.02,0,0,5,4,0,0,68,35,26,39,4.63,4.9,4.9,4.74,4.51,1.5
834,강철민,2005,P,1,1.01,0,0,3,8,0,0,92.1,48,52,68,4.68,5.07,5.07,4.93,5.52,1.64
835,김희걸,2003,P,0,1.01,0,0,2,1,0,3,60,23,32,44,3.45,4.35,4.35,4.44,4.34,1.5
836,권혁,2004,P,0,1.01,0,0,3,3,0,3,81,43,38,78,4.78,4.89,4.89,4.84,4.34,1.46
837,에르난데스,2002,P,1,1,1,0,2,0,0,0,44.2,14,11,45,2.82,3.83,3.83,3.81,3.94,1.12
838,윤규진,2004,P,0,1,1,0,3,4,3,0,84.2,43,36,63,4.57,5.31,5.31,5.06,4.25,1.43
839,조규수,2003,P,1,0.99,0,0,4,10,2,1,121,71,60,80,5.28,5.5,5.5,5.23,4.91,1.5
840,조영민,2005,P,0,0.99,0,0,2,0,0,2,36.2,14,23,27,3.44,3.44,3.44,3.41,5.42,1.31
841,엄정욱,2005,P,0,0.97,0,0,1,0,1,0,14.2,1,9,18,0.61,0.61,0.61,0.64,2.49,1.16
842,최향남,2004,P,0,0.97,0,0,2,1,0,0,45.1,18,20,37,3.57,3.97,3.97,3.94,3.44,1.32
843,고효준,2005,P,1,0.97,0,0,4,4,0,0,57.2,23,47,67,3.59,4.21,4.21,4.37,4.34,1.3
844,신용운,2002,P,0,0.97,0,0,2,0,0,0,38,15,10,30,3.55,3.79,3.79,3.74,3.59,1.13
845,윤석민,2005,P,0,0.96,0,0,3,4,7,0,84,40,32,49,4.29,5.04,5.04,4.9,4.45,1.48
846,한용덕,2002,P,1,0.94,0,0,8,7,2,1,116.2,64,21,86,4.94,5.25,5.25,5.25,4.12,1.17
847,마일영,2004,P,0,0.94,1,0,4,4,0,0,80.1,42,37,46,4.71,5.15,5.15,5.05,4.49,1.69
848,최원호,2004,P,1,0.94,0,0,8,7,0,0,96.2,51,40,64,4.75,5.12,5.12,5.24,4.27,1.59
849,임경완,2003,P,0,0.93,0,0,3,14,11,4,93.2,49,30,45,4.71,5,5,5.21,4.47,1.36
850,차명주,2002,P,0,0.93,0,0,1,2,1,17,51.1,22,18,37,3.86,4.03,4.03,4.17,3.57,1.25
851,전병호,2005,P,1,0.93,0,0,6,5,0,0,104.2,51,31,51,4.39,5.16,5.16,5.17,5.02,1.35
852,류택현,2005,P,0,0.92,0,0,0,5,0,13,52,21,16,41,3.63,4.33,4.33,4.39,3.41,1.29
853,기론,2003,P,1,0.92,0,0,3,3,1,0,64.2,33,31,49,4.59,4.87,4.87,4.63,4.38,1.44
854,이혜천,2003,P,0,0.92,0,0,5,3,0,11,55,24,37,36,3.93,4.42,4.42,4.58,4.66,1.51
855,조규제,2004,P,0,0.92,0,0,1,0,1,5,21,5,4,18,2.14,2.14,2.14,2.13,2.54,0.71
856,최향남,2002,P,1,0.91,0,0,7,9,0,0,109,54,58,75,4.46,5.12,5.12,5.29,5.33,1.4
857,김민기,2001,P,0,0.91,0,0,2,5,4,4,107.2,62,63,77,5.18,5.68,5.68,5.88,4.53,1.6
858,정민철,2002,P,1,0.9,0,0,7,13,0,0,138,82,39,116,5.35,5.41,5.41,5.42,4.07,1.33
859,채병용,2003,P,0,0.9,0,0,9,5,4,2,114,61,59,84,4.82,5.21,5.21,5.32,4.01,1.51
860,전병호,2004,P,1,0.89,0,0,5,2,0,2,60,28,23,34,4.2,4.65,4.65,4.6,4.98,1.38
861,김홍집,2001,P,0,0.88,0,0,1,0,0,2,18.1,5,9,14,2.45,2.45,2.45,2.45,3.15,1.58
862,스미스,2005,P,1,0.88,0,0,4,6,0,0,95,48,37,45,4.55,5.12,5.12,5.19,4.19,1.6
863,제춘모,2003,P,1,0.87,0,0,10,6,0,5,127,69,59,82,4.89,5.31,5.31,5.43,4.72,1.45
864,이정훈,2005,P,0,0.87,0,0,2,3,1,5,75,37,28,46,4.44,4.8,4.8,4.93,4.02,1.52
865,강영식,2003,P,0,0.86,0,0,1,2,0,6,42.2,20,25,40,4.22,4.22,4.22,4.1,3.41,1.52
866,이정훈,2004,P,0,0.85,0,0,1,4,0,0,58,27,23,33,4.19,4.5,4.5,4.63,4.62,1.57
867,염종석,2004,P,1,0.85,0,0,3,6,0,0,102,52,30,55,4.59,5.12,5.12,5.27,4.2,1.4
868,라형진,2001,P,0,0.84,0,0,2,2,0,2,69.2,42,42,37,5.43,5.68,5.68,5.41,5.49,1.59
869,조계현,2001,P,1,0.84,0,0,3,5,0,0,87,51,33,38,5.28,5.48,5.48,5.66,4.72,1.52
870,라형진,2002,P,0,0.84,0,0,4,4,2,4,98.2,54,29,73,4.93,5.47,5.47,5.26,4.88,1.35
871,김정수,2001,P,0,0.82,0,0,2,2,1,10,43.2,18,19,45,3.71,4.95,4.95,4.92,4.09,1.26
872,손승락,2005,P,1,0.82,1,0,5,10,0,0,134.1,81,48,80,5.43,5.43,5.43,5.4,4.89,1.5
873,콜,2001,P,1,0.82,1,0,6,9,0,0,119.2,67,56,95,5.04,5.79,5.79,5.98,3.98,1.43
874,최영필,2001,P,1,0.82,0,0,4,4,2,0,67.1,41,36,43,5.48,5.75,5.75,5.71,4.84,1.49
875,성영재,2003,P,0,0.81,0,0,1,1,2,2,33.1,12,13,17,3.24,3.51,3.51,3.64,3.47,1.5
876,지승민,2004,P,0,0.81,0,0,3,1,0,17,28.2,11,15,34,3.45,3.45,3.45,3.42,4.31,1.26
877,최용호,2001,P,1,0.8,0,0,7,5,0,0,85,47,46,58,4.98,5.51,5.51,5.68,4.74,1.54
878,매기,2002,P,1,0.8,2,1,6,9,0,0,132.1,69,81,124,4.69,5.44,5.44,5.48,4.05,1.57
879,제춘모,2002,P,1,0.8,0,0,9,7,0,0,146,76,51,93,4.68,5.55,5.55,5.51,4.63,1.4
880,정진용,2001,P,0,0.8,0,0,1,7,0,1,100,57,48,56,5.13,5.67,5.67,5.85,5.03,1.59
881,박정진,2001,P,0,0.8,0,0,4,3,0,0,57,30,31,44,4.74,5.37,5.37,5.34,4.45,1.47
882,이정훈,2003,P,0,0.79,1,0,7,8,1,5,110.2,64,51,67,5.2,5.29,5.29,5.52,4.57,1.6
883,최영필,2004,P,0,0.79,0,0,0,3,1,0,37,17,9,27,4.14,4.38,4.38,4.17,4.16,1.3
884,정민태,2004,P,1,0.78,1,0,7,14,0,0,165.2,92,42,123,5,5.92,5.92,5.8,3.96,1.42
885,최향남,2005,P,1,0.78,0,0,2,5,1,0,41.2,19,20,31,4.1,4.32,4.32,4.2,4.8,1.42
886,이승호,2002,P,0,0.78,0,0,2,2,1,3,46,21,26,44,4.11,4.3,4.3,4.45,3.94,1.33
887,이경필,2004,P,1,0.78,0,0,5,12,0,0,99.2,52,44,49,4.7,5.33,5.33,5.43,4.24,1.58
888,신철인,2002,P,0,0.77,0,0,2,1,1,5,55.2,28,18,54,4.53,4.69,4.69,4.6,3.08,1.4
889,김상진,2003,P,1,0.77,0,0,2,8,0,2,89.1,45,28,30,4.53,5.14,5.14,5.25,4.62,1.32
890,조현근,2005,P,0,0.76,0,0,0,0,0,2,36,16,8,11,4,4,4,4.06,4.53,1.19
891,염종석,2003,P,1,0.76,0,0,7,14,0,0,123.2,71,47,85,5.17,5.39,5.39,5.62,4.93,1.45
892,노장진,2004,P,0,0.75,0,0,1,0,17,1,46,21,28,55,4.11,4.3,4.3,4.3,4.22,1.72
893,키퍼,2004,P,1,0.75,0,0,7,9,0,0,103.2,54,38,50,4.69,5.38,5.38,5.49,4.8,1.48
894,김병준,2001,P,0,0.75,0,0,1,0,0,0,30.2,10,26,21,2.93,4.4,4.4,4.38,6.11,1.83
895,박준수,2005,P,0,0.74,0,0,1,1,0,1,42,18,7,43,3.86,4.29,4.29,4.27,3.05,1.05
896,바르가스,2005,P,1,0.74,0,0,10,8,0,0,128,72,63,66,5.06,5.48,5.48,5.5,4.97,1.43
897,정재복,2004,P,0,0.74,0,0,4,4,2,3,86,49,37,56,5.13,5.23,5.23,5.35,5.02,1.44
898,김기덕,2002,P,0,0.72,0,0,0,0,0,0,23,8,5,12,3.13,3.13,3.13,3.11,3.64,1.26
899,차정민,2005,P,0,0.71,0,0,4,1,0,3,36,14,15,19,3.5,4.25,4.25,4.13,4.51,1.42
900,이원식,2001,P,1,0.7,0,0,6,4,0,0,80.1,49,31,43,5.49,5.94,5.94,5.78,5.88,1.57
901,이상목,2001,P,0,0.69,0,0,7,8,5,3,101,55,29,69,4.9,6.15,6.15,6.11,4.11,1.52
902,주형광,2003,P,0,0.69,0,0,0,9,1,13,74.2,38,21,49,4.58,5.06,5.06,5.28,4.81,1.42
903,강철민,2003,P,1,0.69,2,0,6,7,0,1,90.1,49,44,44,4.88,5.38,5.38,5.33,5.88,1.39
904,김승회,2003,P,0,0.68,0,0,1,3,0,6,51.1,25,20,40,4.38,4.73,4.73,4.91,3.37,1.31
905,최원호,2003,P,1,0.68,0,0,4,3,0,1,76.1,38,24,40,4.48,4.95,4.95,5.14,4.21,1.62
906,한용덕,2003,P,0,0.68,0,0,2,1,1,3,55,30,9,42,4.91,5.07,5.07,4.82,3.14,1.24
907,정병희,2004,P,0,0.67,0,0,4,5,1,3,65.2,40,25,52,5.48,5.48,5.48,5.22,4.84,1.46
908,강상수,2004,P,0,0.66,0,0,0,1,0,4,35,16,20,17,4.11,4.11,4.11,4.23,5.46,1.74
909,노환수,2005,P,0,0.66,0,0,1,1,0,7,43.2,19,13,38,3.92,4.53,4.53,4.51,4.32,1.12
910,러핀,2002,P,0,0.66,0,0,1,0,0,0,17.1,5,6,18,2.6,2.6,2.6,2.58,2.82,0.81
911,이용훈,2005,P,1,0.65,0,0,7,9,1,0,106,59,45,106,5.01,5.35,5.35,5.5,3.72,1.31
912,권오준,2003,P,0,0.64,0,0,0,1,0,1,23,8,5,10,3.13,3.52,3.52,3.43,3.93,1.17
913,박만채,2003,P,0,0.64,0,0,0,0,1,0,22.1,6,8,13,2.42,3.22,3.22,3.35,3.64,1.3
914,박정근,2001,P,0,0.64,0,0,0,0,1,0,21,9,16,9,3.86,3.86,3.86,3.83,6.68,1.43
915,라형진,2005,P,0,0.64,0,0,1,0,0,0,15.1,4,1,16,2.35,2.35,2.35,2.35,3.2,0.59
916,김정수,2002,P,0,0.64,0,0,1,2,1,12,25,9,8,29,3.24,3.6,3.6,3.6,3.25,1.16
917,경헌호,2003,P,0,0.63,0,0,4,4,1,11,70.2,33,34,73,4.2,4.97,4.97,5.16,3.48,1.53
918,가득염,2001,P,0,0.62,0,0,1,3,2,9,50.2,24,15,42,4.26,5.51,5.51,5.53,3.51,1.48
919,이강철,2005,P,0,0.62,0,0,0,1,0,3,19.2,7,8,15,3.2,3.2,3.2,3.12,4.03,1.58
920,조웅천,2001,P,0,0.62,0,0,2,5,12,9,76.2,48,25,77,5.63,5.87,5.87,5.81,3.44,1.58
921,이광우,2001,P,0,0.61,0,0,2,3,0,0,58.1,35,25,22,5.4,5.4,5.4,5.57,6.13,1.63
922,김광삼,2005,P,1,0.61,0,0,7,7,0,0,103.1,57,53,76,4.96,5.49,5.49,5.56,4.93,1.63
923,곽현희,2002,P,0,0.61,0,0,2,0,0,1,32.2,15,14,27,4.13,4.41,4.41,4.35,5.21,1.38
924,김해님,2004,P,1,0.6,0,0,5,3,0,3,90.1,56,36,43,5.58,5.88,5.88,5.6,5.31,1.61
925,손혁,2001,P,0,0.6,0,0,0,0,0,0,10.2,2,4,2,1.69,1.69,1.69,1.63,5.35,1.41
926,가득염,2005,P,0,0.6,0,0,0,0,1,2,23,9,1,21,3.52,3.52,3.52,3.62,1.84,0.83
927,전병호,2001,P,0,0.6,0,0,3,1,1,1,40,22,20,15,4.95,5.4,5.4,5.14,5.64,1.65
928,가내영,2002,P,0,0.6,0,0,1,0,0,1,25,7,8,18,2.52,3.96,3.96,3.91,3.87,1.6
929,라이언,2003,P,1,0.59,0,0,1,3,1,0,57.1,32,16,28,5.02,5.18,5.18,5.04,4.02,1.41
930,마정길,2004,P,0,0.59,0,0,2,1,2,1,41,22,22,37,4.83,5.05,5.05,4.81,5.12,1.41
931,박장희,2001,P,0,0.59,0,0,4,5,0,1,94.1,58,30,41,5.53,6.11,6.11,6.11,5.57,1.45
932,금민철,2005,P,0,0.58,0,0,0,3,0,6,51.1,27,20,44,4.73,4.91,4.91,4.98,4.03,1.27
933,이대환,2002,P,0,0.58,0,0,0,0,0,0,13,3,1,8,2.08,2.08,2.08,2.04,4.01,0.85
934,문용민,2003,P,0,0.55,0,0,0,0,0,0,12.1,3,11,3,2.19,2.19,2.19,2.08,5.08,1.46
935,장원준,2005,P,1,0.55,1,0,5,6,0,1,107.1,61,53,79,5.11,5.45,5.45,5.6,4.22,1.47
936,쿠퍼,2004,P,1,0.55,0,0,4,4,0,1,60.2,32,25,31,4.75,5.19,5.19,5.31,5.1,1.5
937,차명주,2004,P,0,0.55,0,0,0,1,0,11,14.2,4,6,11,2.45,3.07,3.07,2.92,2.77,1.36
938,조형식,2005,P,0,0.54,0,0,0,0,0,0,17.2,5,8,16,2.55,3.06,3.06,3.17,4.11,1.53
939,손민한,2003,P,1,0.54,1,0,3,11,0,0,109.1,59,38,54,4.86,5.52,5.52,5.76,4.98,1.4
940,조영민,2004,P,0,0.54,0,0,1,5,8,0,33.1,15,10,19,4.05,4.86,4.86,4.63,5.39,1.23
941,이동현,2001,P,1,0.54,0,0,4,6,0,0,105.2,63,56,51,5.37,6.05,6.05,6.26,5.69,1.76
942,이상열,2001,P,0,0.54,0,0,1,1,0,2,17,6,10,10,3.18,3.71,3.71,3.71,4.77,2.18
943,구자운,2001,P,1,0.53,0,0,6,2,0,0,54.1,29,28,46,4.8,5.47,5.47,5.64,5.16,1.55
944,이재우,2003,P,0,0.53,0,0,3,0,0,1,46,22,20,29,4.3,4.89,4.89,5.07,4.63,1.46
945,민경수,2005,P,0,0.53,0,0,0,0,0,9,21.2,9,14,16,3.74,3.74,3.74,3.79,3.74,1.89
946,조규수,2002,P,1,0.53,0,0,5,7,0,0,113.2,69,49,88,5.46,5.62,5.62,5.63,5.23,1.43
947,유동훈,2003,P,0,0.52,0,0,0,0,1,0,21.1,9,7,11,3.8,3.8,3.8,3.76,4.31,1.31
948,김영수,2002,P,1,0.48,0,0,2,18,0,1,118.1,63,58,76,4.79,5.63,5.63,5.75,4.78,1.64
949,이용훈,2004,P,0,0.48,1,0,1,3,0,0,33.2,15,10,36,4.01,4.54,4.54,4.68,2.25,1.13
950,류택현,2002,P,0,0.48,0,0,0,2,0,13,46,21,14,46,4.11,4.89,4.89,5.05,4.25,1.17
951,김백만,2002,P,0,0.48,0,0,1,1,0,1,31.2,16,7,31,4.55,4.55,4.55,4.55,3.97,1.17
952,이재영,2005,P,0,0.47,0,0,1,2,0,1,22.1,10,11,20,4.03,4.03,4.03,4.09,4.86,1.57
953,정현욱,2002,P,0,0.47,0,0,1,1,0,0,36,16,16,34,4,5,5,4.8,3.33,1.33
954,강태원,2001,P,0,0.45,0,0,0,6,0,0,20.2,20,12,16,8.71,8.71,17.42,16.95,7.46,1.94
955,권명철,2001,P,0,0.45,0,0,0,1,0,1,26,11,7,16,3.81,4.85,4.85,4.8,4.11,1.23
956,이혜천,2002,P,0,0.44,0,0,2,4,1,12,79,41,46,75,4.67,5.24,5.24,5.42,4.2,1.49
957,강철민,2004,P,1,0.44,1,0,8,12,1,0,145.1,86,61,86,5.33,5.82,5.82,5.78,4.6,1.51
958,소소경,2001,P,0,0.44,0,0,0,0,0,0,10.2,2,4,8,1.69,5.06,10.13,9.85,6.22,1.31
959,성영재,2001,P,0,0.44,0,0,5,4,3,6,61.1,39,23,36,5.72,6.16,6.16,6,4.79,1.47
960,윤성환,2004,P,0,0.43,0,0,4,7,1,17,67,36,35,71,4.84,5.51,5.51,5.45,3.73,1.42
961,김기덕,2001,P,1,0.42,0,0,3,10,0,0,67.2,39,16,41,5.19,5.99,5.99,5.92,6.02,1.37
962,레이,2001,P,1,0.41,0,0,1,5,0,0,50.1,30,35,32,5.36,5.9,5.9,5.93,5.83,1.63
963,우규민,2004,P,0,0.41,0,0,2,1,0,1,18.1,8,7,4,3.93,3.93,3.93,4.02,6.44,1.25
964,왈론드,2005,P,1,0.4,1,0,4,10,1,2,89.1,50,49,68,5.04,5.64,5.64,5.72,4.87,1.5
965,경헌호,2002,P,0,0.4,0,0,1,1,1,2,52.1,27,21,46,4.64,5.16,5.16,5.33,3.39,1.38
966,유혜정,2003,P,0,0.4,0,0,0,2,0,0,14.2,6,8,10,3.68,3.68,3.68,3.5,5.81,1.16
967,노경은,2003,P,1,0.39,0,0,3,1,0,0,19.2,9,12,8,4.12,4.12,4.12,4.27,5.58,1.22
968,김장현,2002,P,0,0.39,1,0,4,9,1,0,119.2,70,39,70,5.26,5.72,5.72,5.84,4.8,1.38
969,조태수,2003,P,0,0.39,0,0,0,1,0,1,25.1,11,14,12,3.91,4.62,4.62,4.58,5.11,1.38
970,김광우,2003,P,0,0.39,0,0,0,1,0,3,23.1,9,20,18,3.47,4.24,4.24,4.4,4.41,1.97
971,오철민,2002,P,0,0.38,0,0,0,0,0,1,19,9,10,13,4.26,4.26,4.26,4.21,6.23,1.58
972,이보근,2005,P,0,0.38,0,0,0,2,0,0,25.2,7,10,16,2.45,4.56,4.56,4.54,4.48,1.25
973,성영재,2004,P,0,0.36,0,0,1,0,0,4,13,5,4,6,3.46,3.46,3.46,3.54,4.77,1.38
974,오봉옥,2004,P,0,0.35,0,0,5,2,0,2,60.1,40,22,31,5.97,5.97,5.97,5.69,4.65,1.52
975,김상태,2001,P,0,0.35,0,0,0,3,0,0,22,12,20,13,4.91,4.91,4.91,5.08,6.1,1.77
976,김백만,2003,P,0,0.35,0,0,0,0,0,0,32.2,19,6,21,5.23,5.23,5.23,4.98,4.7,1.35
977,장재혁,2002,P,0,0.34,0,0,0,1,0,1,32.2,14,12,29,3.86,4.96,4.96,4.97,3.59,1.5
978,박진철,2002,P,1,0.34,0,0,1,3,0,0,27,12,10,7,4,5,5,4.93,5.32,1.15
979,곽현희,2001,P,0,0.34,0,0,0,0,0,0,10.2,6,12,10,5.06,6.75,13.5,13.14,5.26,2.44
980,김주철,2002,P,0,0.34,0,0,0,0,0,0,18.1,9,5,16,4.42,4.42,4.42,4.36,2.96,1.2
981,김민범,2001,P,0,0.33,0,0,0,0,0,2,17,8,7,13,4.24,4.76,4.76,4.77,4.49,1.65
982,기론,2001,P,1,0.33,0,0,4,2,0,0,47.2,29,30,42,5.48,6.04,6.04,6.07,5.48,1.51
983,강철민,2002,P,1,0.33,0,0,5,6,0,1,77.2,49,22,46,5.68,5.91,5.91,5.83,4.34,1.57
984,가득염,2004,P,0,0.33,0,0,3,3,0,12,40.1,22,21,25,4.91,5.13,5.13,5.28,3.88,1.51
985,김태구,2003,P,0,0.33,0,0,0,0,0,0,24.2,13,10,6,4.74,4.74,4.74,4.92,3.95,1.46
986,박정진,2004,P,0,0.32,0,0,3,1,0,4,32.2,20,23,23,5.51,5.51,5.51,5.25,5.98,1.71
987,해크먼,2005,P,1,0.32,0,0,3,6,0,0,80.2,43,37,57,4.8,5.69,5.69,5.7,4.62,1.43
988,심수창,2005,P,0,0.32,0,0,0,1,0,1,32,15,17,21,4.22,5.06,5.06,5.13,3.73,1.56
989,김혁섭,2001,P,0,0.32,0,0,1,0,0,0,11.2,5,10,6,3.86,3.86,3.86,3.99,5.18,1.71
990,권명철,2004,P,0,0.32,0,0,0,0,0,1,12.1,5,6,6,3.65,3.65,3.65,3.72,4.17,1.22
991,에스트라다,2003,P,1,0.32,1,1,1,3,0,0,36.1,19,13,26,4.71,5.45,5.45,5.18,5.96,1.18
992,이대환,2003,P,0,0.31,0,0,1,0,0,0,20.1,6,7,8,2.66,4.87,4.87,4.71,5.04,1.33
993,김장현,2001,P,0,0.31,0,0,1,3,0,1,49.2,30,26,28,5.44,6.16,6.16,6.19,4.23,1.73
994,조진호,2003,P,1,0.31,0,0,4,5,0,0,79.2,46,17,22,5.2,5.65,5.65,5.77,4.76,1.46
995,이동학,2005,P,0,0.31,0,0,0,2,0,0,42.1,19,24,23,4.04,5.31,5.31,5.29,5.47,1.84
996,지연규,2002,P,1,0.3,0,0,4,9,0,0,77.1,46,29,48,5.35,5.7,5.7,5.71,4.14,1.56
997,강영식,2005,P,0,0.3,0,0,0,0,0,7,31.2,17,27,37,4.83,5.12,5.12,5.13,4.96,1.67
998,김진웅,2005,P,0,0.29,0,0,1,1,1,0,19.2,10,8,15,4.58,4.58,4.58,4.59,6.9,1.12
999,이대환,2004,P,0,0.29,0,0,0,0,1,0,21.2,12,13,13,4.98,4.98,4.98,4.88,4.83,1.48
1000,박명환,2003,P,1,0.28,0,0,5,10,0,0,100.2,58,46,76,5.19,5.81,5.81,6.03,4.33,1.58
1001,박보현,2001,P,0,0.28,0,0,2,3,1,0,50,29,15,18,5.22,5.94,5.94,6.13,5.42,1.24
1002,이병석,2003,P,1,0.27,0,0,3,6,0,0,66,38,31,29,5.18,5.45,5.45,5.66,5.34,1.62
1003,이용훈,2001,P,1,0.27,0,0,4,4,0,0,71.2,44,32,45,5.53,6.66,6.66,6.33,4.94,1.65
1004,배영수,2002,P,1,0.26,0,0,6,7,0,0,81.1,50,43,63,5.53,6.09,6.09,5.84,5.24,1.68
1005,이명우,2002,P,0,0.26,0,0,0,0,0,0,16.1,7,6,12,3.86,4.41,4.41,4.5,4.43,0.86
1006,차명주,2003,P,0,0.26,0,0,1,1,0,16,31,15,16,14,4.35,5.23,5.23,5.42,3.55,1.42
1007,이원식,2005,P,0,0.25,0,0,1,0,1,0,16,6,7,13,3.38,4.5,4.5,4.56,4.45,1.63
1008,패트릭,2002,P,1,0.25,0,0,5,7,0,0,77,51,20,45,5.96,6.08,6.08,5.84,4.73,1.56
1009,이명호,2002,P,0,0.25,0,0,0,0,0,1,14.2,7,9,11,4.3,4.3,4.3,4.39,5.13,1.64
1010,강상수,2002,P,0,0.25,0,0,2,7,7,2,55,28,36,33,4.58,5.56,5.56,5.68,5.31,1.8
1011,김정수,2003,P,0,0.24,0,0,0,0,0,8,13,6,6,3,4.15,4.15,4.15,4.24,4.27,1.85
1012,오봉옥,2005,P,0,0.24,0,0,3,2,3,2,43,27,19,24,5.65,5.86,5.86,5.63,5.85,1.7
1013,조규제,2003,P,0,0.24,0,0,0,3,0,4,40,25,32,41,5.63,5.85,5.85,5.66,5.11,1.78
1014,김홍집,2002,P,0,0.23,0,0,0,0,1,4,26.1,13,9,17,4.44,5.13,5.13,5.13,5.44,1.48
1015,이대환,2005,P,0,0.23,0,0,5,3,0,0,76.1,45,29,50,5.31,5.78,5.78,5.75,4.98,1.52
1016,이승호,2005,P,1,0.23,1,1,5,10,0,0,111,68,51,94,5.51,5.92,5.92,6,4.42,1.56
1017,노승욱,2002,P,0,0.23,0,0,2,1,0,0,35.1,21,11,23,5.35,5.35,5.35,5.46,5.03,1.39
1018,신윤호,2004,P,0,0.23,0,0,6,3,0,3,69.2,42,34,36,5.43,5.81,5.81,5.95,5.78,1.59
1019,문용민,2004,P,0,0.22,0,0,1,1,0,4,17.1,9,6,13,4.67,5.19,5.19,4.95,5.5,1.44
1020,손혁,2002,P,1,0.22,0,0,2,1,0,0,19.1,8,7,11,3.72,5.12,5.12,5.05,5.8,1.34
1021,박지철,2002,P,1,0.22,0,0,1,2,0,0,24.2,14,8,20,5.11,5.11,5.11,5.22,4.64,1.34
1022,김민범,2005,P,0,0.22,0,0,0,0,0,1,23,13,3,21,5.09,5.09,5.09,5.06,2.49,1.13
1023,마정길,2002,P,0,0.22,0,0,2,5,6,6,60,36,21,54,5.4,5.7,5.7,5.71,4.32,1.42
1024,서승화,2004,P,0,0.21,0,0,1,8,1,14,69.1,43,45,64,5.58,5.84,5.84,5.98,4.16,1.49
1025,송현우,2005,P,0,0.21,0,0,1,1,0,3,37.1,20,20,23,4.82,5.54,5.54,5.62,5.32,1.63
1026,김광수,2003,P,0,0.2,0,0,4,7,1,0,83,47,39,56,5.1,5.64,5.64,5.85,4.82,1.52
1027,정대현,2001,P,0,0.2,0,0,0,0,0,0,16.2,10,10,20,5.4,5.4,5.4,5.34,4.01,1.74
1028,위재영,2004,P,0,0.2,0,0,1,1,0,0,28.2,15,15,14,4.71,5.65,5.65,5.54,5.13,1.5
1029,윤형진,2001,P,0,0.2,0,0,4,4,1,3,88.2,55,42,62,5.58,6.8,6.8,6.63,4.71,1.64
1030,곽채진,2002,P,0,0.19,0,0,0,0,0,1,14.2,7,2,8,4.3,4.91,4.91,4.85,6.21,0.95
1031,워렌,2001,P,0,0.19,0,0,2,1,3,0,14.2,7,9,6,4.3,5.52,5.52,5.49,4.21,1.77
1032,송은범,2004,P,0,0.18,0,0,2,5,0,1,59,34,32,32,5.19,5.8,5.8,5.9,6.13,1.64
1033,케펜,2002,P,1,0.18,0,0,6,4,0,0,66,37,33,47,5.05,5.73,5.73,5.92,4.7,1.76
1034,김덕윤,2004,P,0,0.18,0,0,0,0,0,0,22,8,9,16,3.27,5.32,5.32,5.27,4.73,1.36
1035,정원,2001,P,0,0.18,0,0,0,0,0,0,17,9,5,12,4.76,5.82,5.82,5.68,5.15,1.53
1036,이상현,2005,P,0,0.18,0,0,0,0,0,0,16.1,8,8,14,4.41,4.96,4.96,4.94,4.85,1.53
1037,양성제,2003,P,0,0.16,0,0,1,6,0,6,99.1,54,37,42,4.89,5.89,5.89,6.15,4.96,1.59
1038,장준관,2004,P,0,0.16,0,0,0,0,0,0,13,5,8,7,3.46,4.85,4.85,4.96,5.77,1.69
