Rank,Name,Year,Position,Binary_SP,WAR_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,4구_z,삼진_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
1975,윤희상,2012,P,1,1.42033869,-0.344451711,-0.234136395,1.638669447,1.679547094,-0.301606241,-0.563481194,1.892361518,1.659766465,1.231814769,1.368683217,-0.477237962,-0.456572601,-0.456572601,-0.450040272,-0.221830633,-0.308539076
1976,주키치,2012,P,1,1.413403243,-0.344451711,-0.234136395,1.902720448,1.360526975,-0.301606241,-0.385263886,2.17142376,2.017821682,1.502019299,1.263086327,-0.421858812,-0.359057972,-0.359057972,-0.289636551,-0.36683017,-0.274644638
1977,한현희,2014,P,0,1.131831267,-0.354613217,-0.183202005,0.075778752,-0.553715635,0.054356788,4.933068387,0.288776093,-0.37020697,0.202700872,0.921111991,-1.23921356,-1.33898165,-1.244063326,-1.375371826,-1.316770694,-0.896874132
1978,스틴슨,2015,P,1,1.065547571,-0.273897704,-0.209678417,1.718532811,1.893542181,-0.298266532,-0.547495089,2.027946976,2.375265518,1.975239588,0.884362546,-0.198137727,-0.213838155,-0.411396074,-0.444576792,0.084161817,-0.198832634
1979,밴덴헐크,2013,P,1,1.205571844,-0.305142991,-0.205581405,0.835317086,1.608704414,-0.304738338,-0.59322594,1.485724738,1.337191531,0.968365507,2.025261865,-0.36335916,-0.410144464,-0.537048647,-0.552184868,-0.977091767,-0.911799309
1980,송승준,2015,P,1,1.025994263,-0.273897704,-0.209678417,1.005203306,0.984449534,-0.298266532,-0.547495089,1.180125375,1.275166107,1.014586968,1.329269509,-0.314470366,-0.364441231,-0.538354667,-0.622938347,-0.354469257,-0.52391367
1981,류제국,2013,P,1,1.199173582,-0.305142991,-0.205581405,2.152823648,-0.555160739,-0.304738338,-0.59322594,0.850548043,0.682113254,1.06857651,0.856635636,-0.406150104,-0.501291731,-0.740739151,-0.609749366,0.141558248,-0.254606377
1982,차우찬,2013,P,0,1.186377058,-0.305142991,-0.205581405,1.625821023,0.990457227,-0.304738338,-0.018253106,1.047055833,0.507425713,1.920370034,1.405174478,-0.732431056,-0.753287115,-0.890826891,-0.803375405,-0.586107296,-0.386044964
1983,웨버,2014,P,1,1.065936981,2.500956375,-0.183202005,1.364017536,0.780433848,-0.307234017,-0.551587815,1.152084623,0.95668419,0.84155025,0.97558827,-0.499050757,-0.524756278,-0.703510021,-0.652454207,-0.435311823,-0.503876302
1984,송승준,2012,P,1,1.288565202,-0.344451711,-0.234136395,0.846516444,2.31758733,-0.301606241,-0.563481194,1.890368216,1.608615719,1.664142017,1.817469999,-0.508004155,-0.232862571,-0.232862571,-0.301093959,-0.140268394,-0.2407502
1985,봉중근,2013,P,0,1.173580534,-0.305142991,-0.205581405,1.098818398,-0.864284332,5.331911846,-0.59322594,-0.145885395,-1.021090267,-0.083850023,0.045752131,-1.764762592,-1.868500733,-1.308928452,-1.222026301,-1.172584002,-1.108957189
1986,고원준,2011,P,1,1.376612839,5.090867676,5.199369391,1.325114752,0.946500341,0.014063078,-0.571221354,1.830484684,1.870688591,1.599408342,0.928195342,-0.095275272,-0.132250456,-0.132147005,-0.253060734,0.413522966,0.009278579
1987,이태양,2014,P,1,1.035985033,-0.354613217,-0.183202005,0.848722022,2.114583331,-0.307234017,-0.551587815,1.91127554,2.200644652,0.783473034,1.275207806,-0.118242358,-0.092199049,-0.276215504,-0.364334867,0.20354369,-0.536626122
1988,안지만,2012,P,0,1.246952522,-0.344451711,-0.234136395,-0.737789561,-0.553593735,-0.301606241,4.426603428,-0.100940213,-0.846620057,-0.335371505,0.259915874,-1.492522362,-1.563650441,-1.563650441,-1.567137614,-1.526826464,-1.393161095
1989,송신영,2011,P,0,1.339058661,-0.308944476,-0.222541102,-0.230202417,-0.250018958,3.217632349,0.729277748,0.073199741,-0.6436245,-0.446237276,0.15634496,-1.413889071,-1.510032314,-1.50983377,-1.521440699,-0.994457857,-0.904934304
1990,류현진,2011,P,1,1.293993648,5.090867676,-0.222541102,1.843553808,0.946500341,-0.362827424,-0.571221354,1.255692355,0.732131719,0.497906855,2.113537001,-0.656531402,-0.562017274,-0.561884161,-0.608207124,-1.022806464,-1.270619457
1991,윤성환,2011,P,1,1.256439471,-0.308944476,-0.222541102,2.621212393,0.348240691,-0.362827424,-0.571221354,1.499211242,1.064210807,0.078287241,0.873063172,-0.534813205,-0.435615269,-0.43549088,-0.462343428,-0.673173642,-0.466112121
1992,강윤구,2013,P,0,1.052013556,-0.305142991,-0.205581405,0.571815773,0.681333634,-0.304738338,0.74837734,1.223714351,1.337191531,2.321214045,1.882164775,-0.144055569,-0.099171436,-0.285115655,-0.473687825,-0.727296132,-0.188887084
1993,조상우,2014,P,0,0.928158019,-0.354613217,-0.183202005,0.591074265,-0.553715635,-0.307234017,1.394580515,0.091386455,-0.743395108,0.08654644,0.648730594,-1.630748956,-1.69520525,-1.367618367,-1.432995694,-1.688762511,-1.453621058
1994,로페즈,2011,P,1,1.233906964,1.490992908,-0.222541102,1.843553808,1.54475999,-0.174382173,-0.571221354,1.852423322,1.728368982,-0.131522566,1.507083129,-0.237279835,-0.372414266,-0.372294239,-0.367214931,-0.578678285,-1.051208365
1995,손승락,2013,P,0,1.013623984,-0.305142991,-0.205581405,-0.218688164,-0.555160739,6.518575042,-0.59322594,-0.122066269,-0.715387071,-0.434588533,-0.001946899,-1.24592239,-1.353786755,-1.212443477,-1.26389139,-1.813364107,-1.240395775
1996,소사,2012,P,1,1.094372695,5.333782558,2.660640847,1.374618446,1.360526975,-0.301606241,-0.563481194,1.573433241,1.506314229,0.691405709,1.474280107,-0.366479663,-0.370530281,-0.370530281,-0.375567116,-0.484642294,-0.681377895
1997,안지만,2011,P,0,1.17382028,-0.308944476,-0.222541102,1.843553808,0.348240691,-0.362827424,2.587133608,0.378146816,-0.216665673,-0.446237276,0.707666662,-1.01492387,-1.017064494,-1.016899973,-1.045798212,-1.504732786,-1.307187973
1998,안영명,2015,P,1,0.822577252,-0.273897704,-0.209678417,1.480756309,0.681418651,-0.298266532,-0.34218443,1.182143998,1.486723686,1.761761228,0.62678483,-0.120582634,-0.138536617,-0.450035646,-0.505888576,0.40692808,-0.036292116
1999,류제국,2015,P,1,0.805625835,-0.273897704,-0.209678417,0.054097299,1.590511299,-0.298266532,-0.547495089,1.281056518,1.402100654,1.494913278,0.767281766,-0.297851417,-0.434364088,-0.576994238,-0.444576792,0.3241675,-0.426389359
2000,정현욱,2011,P,0,1.136266102,-0.308944476,-0.222541102,0.029017111,-0.250018958,-0.174382173,3.88763271,0.073199741,-0.59618463,0.078287241,0.018514535,-1.332743606,-1.269868504,-1.269686536,-1.293132306,-0.304641749,-0.246701029
2001,앨버스,2014,P,1,0.838302175,2.500956375,5.422779356,0.591074265,3.115195443,-0.307234017,-0.551587815,1.870062319,2.573832791,0.725395818,1.574827343,0.203567557,0.182602014,-0.121771703,-0.222894463,-0.556613502,-0.110878473
2002,리즈,2011,P,1,1.121244431,1.490992908,-0.222541102,1.843553808,2.741279289,-0.362827424,-0.571221354,2.093748346,1.870688591,2.910719636,1.94814049,-0.304901055,-0.271292662,-0.271179614,-0.189641736,0.158385502,-0.136995483
2003,밴와트,2014,P,1,0.814340616,-0.354613217,-0.183202005,1.364017536,-0.887253006,-0.307234017,-0.551587815,0.028482064,-0.577533713,-0.087685209,0.18568222,-1.287485048,-1.227025661,-1.305840847,-1.281078223,-0.661741624,-1.289871962
2004,윤석민,2013,P,0,0.911251792,1.830857945,-0.205581405,-0.218688164,0.681333634,0.733591959,-0.209910717,0.374165523,0.289066287,-0.033744521,0.570441458,-0.336614819,-0.40478286,-0.451284225,-0.546951731,-0.651271374,-0.451764257
2005,울프,2014,P,1,0.802359837,-0.354613217,-0.183202005,-0.439516761,-0.553715635,0.415947592,-0.551587815,0.43844516,0.376169307,-0.029607993,-0.222889875,-0.354236295,-0.509489552,-0.89399071,-0.88294968,0.130762682,-0.896874132
2006,한희,2011,P,0,1.076179418,-0.308944476,-0.222541102,-0.489421945,-0.848278607,-0.362827424,0.729277748,-0.036493452,-0.69106437,-0.341332373,-0.00905155,-1.393602705,-1.396270509,-1.396079817,-1.350209404,-0.673173642,-1.56316758
2007,유원상,2012,P,0,0.990340994,-0.344451711,-0.234136395,0.054363441,-0.553593735,0.133218304,3.179082273,0.116329675,-0.539715585,-0.713657847,-0.136072463,-1.1971669,-1.150647309,-1.150647309,-1.09738386,-0.62964183,-0.918638962
2008,안지만,2015,P,0,0.754771582,-0.273897704,-0.209678417,0.054097299,-0.227673996,-0.298266532,7.048999265,0.233391253,-0.290359979,-0.052804832,0.954611014,-1.101100589,-1.321846501,-1.024109281,-1.046547039,-1.529669494,-0.914010913
2009,유먼,2014,P,1,0.784388668,-0.354613217,-0.183202005,2.136960806,2.114583331,-0.307234017,-0.551587815,1.872231436,2.615298139,2.003094573,0.94835013,0.225021551,0.208046556,0.037820225,-0.123362327,0.243977583,0.249369538
2010,니퍼트,2013,P,1,0.879260482,1.830857945,-0.205581405,2.152823648,0.063086448,-0.304738338,-0.59322594,0.985523091,0.638441369,0.266888487,1.238227874,-0.561267278,-0.533461354,-0.660335005,-0.484154097,-1.2811908,-0.977518602
2011,박희수,2011,P,0,1.02360357,-0.308944476,-0.222541102,0.029017111,-0.549148783,-0.174382173,0.915063334,-0.038687315,-0.833383979,0.078287241,0.680100577,-1.657325465,-1.389950409,-1.389760153,-1.362893204,-1.466934643,-1.490030549
2012,정대현,2011,P,0,1.008581898,-0.308944476,-0.222541102,-0.230202417,-0.250018958,2.652296596,1.472420092,-0.319501888,-1.070583327,-0.183975017,-0.339844571,-1.927810347,-1.750196124,-1.749981004,-1.730723394,-0.899962499,-0.758660243
2013,임창용,2015,P,0,0.698266857,-0.273897704,-0.209678417,0.291873801,-0.530704879,6.229061049,-0.547495089,-0.253096857,-0.798098169,-0.746609502,0.369207115,-1.378083063,-1.590780565,-1.763781081,-1.715402869,-2.489692223,-1.661697296
2014,바티스타,2013,P,1,0.828074386,-0.305142991,-0.205581405,0.835317086,0.990457227,-0.304738338,-0.59322594,1.485724738,1.511879072,2.070686538,2.335305558,-0.229637458,-0.07772502,-0.220792338,-0.227730423,-0.84676361,-0.090308144
