Rank,Name,Year,Position,Binary_SP,WAR_z,경기_z,경기(선발)_z,경기(구원)_z,경기(마무리)_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,실점_z,rRA_z,상대 타자 수_z,피안타_z,피홈런_z,4구_z,몸에 맞는 공_z,고의사구_z,삼진_z,보크_z,폭투_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
1,정민태,1999,P,1,4.575354386,0.143487485,2.146819393,-0.912803904,0.251033546,5.159570495,-0.287479787,3.411655824,0.755072385,0.139075096,0,2.846515779,0.900849132,0.812117428,0.812117428,2.60524693,2.382324957,1.910050295,1.448913019,-0.203070095,1.367128396,2.855079175,-0.57116442,0.451817768,-1.430997509,-1.498425522,-1.498425522,-1.468801307,-1.107184273,-1.11979932
2,임창용,1999,P,0,3.353574011,2.342672333,-0.919191698,2.517933811,5.174208266,-0.372272808,-0.287479787,1.897152426,-0.06067546,5.970590269,0,1.145187268,-0.338698785,-0.441900125,-0.441900125,0.861335191,0.189867412,-0.035605267,-0.069769315,0.541520252,1.367128396,2.00088314,-0.57116442,-0.132887579,-1.611532071,-1.734388273,-1.734388273,-1.760548794,-2.022878235,-1.985771099
3,조계현,1996,P,1,3.452146854,0.099109288,1.866212646,-1.112800259,0.313400868,4.817993611,3.404371247,2.593619102,0.821878219,-0.444871699,0,2.078033784,0.651736948,0.729517635,0.729517635,1.893459046,1.564064897,1.398231408,0.952977564,0.558559079,-0.940535794,1.454740345,-0.350956339,0.250589417,-1.2640651,-1.294204934,-1.29417844,-1.321268929,-0.746588726,-1.450840836
4,해리거,2000,P,1,3.538170527,0.174223334,2.448229172,-1.187015027,-0.536016412,2.821317577,-0.32745867,2.922558182,1.7517414,-0.347496604,-0.490541704,3.041029068,1.672069969,1.669887279,1.669887279,2.767868691,2.402547011,0.167970154,1.459948823,-0.389911193,-0.036623114,2.602857005,1.036222896,1.456381471,-1.113352279,-1.159571766,-1.159571766,-1.093045581,-1.328625218,-1.503280194
5,문동환,1999,P,1,2.861618197,-0.030132372,2.041094873,-1.015213985,-0.027636721,4.369307166,2.874797873,2.762582939,-0.06067546,-0.360769061,0,2.08646576,1.055792621,1.021120354,1.021120354,1.931166333,1.688983682,0.242345528,1.627581528,1.037913817,0.651013522,2.00088314,-0.57116442,2.498286479,-1.097008569,-1.120885119,-1.120885119,-1.126315127,-1.164415145,-0.860007786
6,김현욱,1997,P,0,3.312153703,2.790902004,-0.910295268,2.902536372,1.283926197,-0.43446246,-0.299275295,3.569696069,-0.587713414,0.526539939,0,1.556245011,-0.048092774,0.091324183,0.091324183,1.284304166,0.818663181,-0.407992145,0.008661846,1.544104097,-0.901177333,2.205355984,-0.494162454,-0.971669092,-1.369628525,-1.359453811,-1.359426995,-1.340071673,-1.766198508,-1.841272487
7,정민철,1997,P,1,3.260155795,0.202565468,2.236517031,-1.04529121,0.234722942,6.139640548,7.34887114,2.208872706,1.76997412,-0.381741456,0,2.54225296,1.116258585,1.339546108,1.339546108,2.344282166,2.131031146,0.755291243,0.847493294,-0.206605478,-0.033935548,2.85672217,1.465447277,-0.296491173,-1.069456932,-1.006080981,-1.006049725,-0.935523353,-1.434120018,-1.307995953
8,정명원,1998,P,1,2.838698516,-0.226389513,1.580926506,-1.034280932,-0.221638412,2.854452515,4.419066548,1.92840588,0.776709573,-0.383412175,0,1.779852149,0.011348298,0.687112891,0.687112891,1.647563434,1.122024839,-0.255511085,1.519670676,0.048637253,-0.52072258,1.416937117,-0.350650846,-0.090939089,-1.602058959,-1.230149786,-1.230149786,-1.207711438,-1.153245535,-1.254240312
9,박지철,1997,P,0,3.071663378,0.799873899,0.348429652,0.499510887,1.474690426,1.537768443,-0.299275295,2.208872706,0.19818243,0.677920171,0,1.556245011,0.437053626,0.30653486,0.30653486,1.392657473,0.969262783,0.173649549,1.686324742,0.293597258,0.833306236,1.189224734,-0.494162454,0.716275705,-1.074632304,-1.213056496,-1.21302784,-1.231534319,-0.659270207,-0.952478263
10,정민태,1996,P,1,2.712801347,0.339502031,2.191184501,-1.112800259,-0.53725863,1.427553662,2.12773203,2.372472821,1.413008294,-0.444871699,0,2.423904545,1.318316766,1.469996302,1.469996302,2.292433655,2.307792574,2.082344629,0.952977564,-0.507143599,1.026823481,1.701426537,1.554235216,0.664606715,-1.036131336,-1.017179062,-1.017147402,-0.976331281,-0.820518033,-1.155491095
11,임선동,2000,P,1,2.84361061,0.032774687,2.229621413,-1.187015027,-0.737637265,0.665901043,3.028992695,3.151231628,-0.048795025,-0.347496604,-0.490541704,2.432137823,1.460000877,1.277235519,1.277235519,2.270088459,2.086760216,0.652196612,1.459948823,0.809065726,-0.680143554,2.895901775,-0.463252589,1.83671039,-0.968299056,-1.126182615,-1.126182615,-1.047598237,-1.288942613,-1.101141299
12,정민철,1999,P,1,2.337225735,0.085614199,2.146819393,-0.964008945,-0.399197077,1.20825385,2.874797873,2.978940568,1.026988334,-0.194154342,0,2.310227444,1.636830708,1.613295309,1.613295309,2.161658408,1.838895309,1.632099501,1.180910254,1.782504163,1.367128396,2.231746933,1.941959029,0.451817768,-0.884880458,-0.889212599,-0.889212599,-0.881078109,-0.886436621,-1.11979932
13,진필중,1998,P,0,2.505742071,1.950830778,-0.470160457,1.812705261,3.531321892,0.158580695,1.233591015,0.666176577,0.292156812,2.847252152,0,1.307918813,0.150251465,0.070886207,0.070886207,1.189104987,1.004301678,-0.255511085,0.598232314,0.048637253,1.647183672,0.906317381,-0.350650846,0.571617128,-1.298214727,-1.481629093,-1.481629093,-1.400945268,-1.250945738,-1.12540596
14,정민태,2000,P,1,2.693435493,0.032774687,2.229621413,-1.187015027,-0.536016412,2.821317577,3.028992695,3.151231628,0.551383783,-0.347496604,-0.490541704,2.674472466,1.756897607,1.669887279,1.669887279,2.482732441,2.402547011,1.943467169,1.704399824,-0.989399653,0.606897325,2.383073427,-0.463252589,1.456381471,-0.895772444,-0.992626007,-0.992626007,-0.905575286,-0.741322671,-0.980499631
15,주형광,1996,P,1,2.493955076,0.339502031,2.191184501,-1.112800259,0.313400868,4.333645046,0.851092812,3.035911664,0.821878219,-0.220467391,0,2.535534791,2.548925661,2.34931472,2.34931472,2.460184343,2.647782369,3.222533331,0.555446934,1.091410418,0.043143844,3.80947218,-0.350956339,1.078624013,-0.469377114,-0.613182998,-0.613143805,-0.710559651,-1.559811103,-1.118572377
16,이강철,1996,P,1,2.47029602,0.179240202,1.324592886,-0.695271253,-0.051167489,1.911902226,2.12773203,1.266741416,1.413008294,-0.220467391,0,1.382632254,0.549186206,0.359278301,0.359278301,1.281395725,0.905334668,1.170193668,1.066557745,2.157113095,0.534983662,1.522018397,-0.350956339,-0.163427881,-1.023810593,-1.219177094,-1.219149201,-1.259067058,-0.755829889,-1.22932853
17,진필중,1999,P,0,2.202073039,2.458418904,-0.919191698,2.620343892,5.545768622,-0.372272808,-0.287479787,2.546225311,0.483156437,5.637360831,0,0.697663899,-0.454906402,-0.476733946,-0.476733946,0.509073718,0.058694738,-0.174580664,0.287567705,-0.203070095,1.367128396,1.377550898,-0.57116442,1.328875787,-1.507724697,-1.567069231,-1.567069231,-1.502627102,-1.679492999,-1.437322306
18,주형광,1999,P,1,2.196666931,0.027740914,2.041094873,-0.964008945,-0.213416899,2.788780508,-0.287479787,1.897152426,2.114652127,-0.194154342,0,2.103109191,1.636830708,1.473960025,1.473960025,1.987702125,2.045023796,2.049025693,0.644904724,-0.699463659,-0.065101352,2.831992795,-0.57116442,-0.717592925,-0.781073085,-0.863471208,-0.863471208,-0.87262166,-1.254349374,-0.917739238
19,손민한,2000,P,1,2.555774969,-0.037949637,2.120317533,-1.187015027,-0.435205986,3.899025843,3.028992695,1.779190954,0.851473188,-0.347496604,-0.490541704,2.004488454,0.993448872,1.002379288,1.002379288,1.810970769,1.581501345,1.136423071,1.166607622,0.509321496,-0.680143554,1.503939116,-0.463252589,-0.825592044,-1.065001205,-1.098358321,-1.098358321,-1.121450171,-0.606401816,-1.221782968
20,구대성,1996,P,0,2.422977908,2.342774881,-0.733562201,2.505784456,4.688221143,-0.02549203,-0.425546406,3.035911664,-0.360381932,4.940831703,0,1.122771682,-0.117393612,-0.149800783,-0.149800783,0.873353511,0.161606991,0.258042706,-0.069244057,0.292133409,0.534983662,2.957283516,-0.350956339,-0.163427881,-1.381112167,-1.478888849,-1.478865799,-1.406089662,-2.677991872,-2.299971343
21,정민태,1998,P,1,2.321426896,-0.226389513,1.776268122,-1.139724865,-0.400350807,2.854452515,2.826328782,2.559520532,1.018985953,-0.383412175,0,2.075038251,1.168874694,1.426584912,1.426584912,2.01344854,1.965707497,1.630564161,0.956569455,-0.734678502,-0.52072258,2.216168006,-0.350650846,1.89672956,-0.974976182,-0.869051293,-0.869051293,-0.840567161,-1.153245535,-0.953626823
22,이대진,1996,P,1,2.357915503,0.419632945,0.782973126,-0.138565913,1.04253758,1.427553662,2.12773203,2.593619102,1.117443256,0.228341226,0,1.492432495,0.549186206,0.590677884,0.590677884,1.340335156,0.905334668,1.626269148,0.669027114,0.02570774,0.043143844,2.127520869,-0.350956339,1.078624013,-1.07925394,-1.109521019,-1.109491082,-1.157282179,-1.254852711,-1.561596989
23,이경필,1999,P,1,2.09935699,-0.145878943,1.935370353,-1.066419026,-0.677867344,0.417990521,-0.287479787,1.897152426,0.755072385,-0.360769061,0,1.662982902,0.668433897,0.742449786,0.742449786,1.535415788,1.314204615,0.242345528,1.091575999,1.286110599,0.651013522,0.846564174,0.685397304,0.451817768,-1.137628845,-1.09943396,-1.09943396,-1.020609516,-0.706568164,-0.917739238
24,임창용,1998,P,0,2.250079086,1.818878033,-0.958514496,1.970871161,4.156815276,-0.51538726,-0.359146751,0.666176577,0.534433192,5.397776621,0,0.854206841,-0.45166226,-0.298849804,-0.298849804,0.686563997,0.121377966,-0.769895243,-0.016059928,1.876374015,3.273113361,1.816552561,-0.350650846,-0.422217197,-1.582664646,-1.571903717,-1.571903717,-1.626384737,-2.618748582,-2.07019121
25,성영재,1996,P,1,2.269194042,-0.141283454,1.649564742,-1.182388427,-0.415735845,1.911902226,3.404371247,1.266741416,0.230748143,-0.444871699,0,1.287472044,0.395360095,0.359278301,0.359278301,1.190719677,1.075329566,0.942155927,0.555446934,1.624261756,-0.448695975,0.916515925,-0.350956339,-0.991462476,-1.07925394,-1.167234743,-1.167205881,-1.157282179,-0.580247785,-1.118572377
26,이대진,1997,P,1,2.467187697,0.003462658,1.816942058,-0.988076317,-0.432951857,1.537768443,1.612761313,2.889284387,0.460147712,-0.230361223,0,2.000915262,1.407346425,1.296503972,1.296503972,1.990956166,1.743775025,1.336932936,1.896032604,1.294002729,0.399685344,2.335629221,3.425057009,2.404220503,-0.717531616,-0.799105466,-0.799071609,-0.836853031,-0.744418538,-0.70361588
27,구대성,2000,P,0,2.324254997,1.376536838,-0.175063937,1.254305031,2.891538078,-0.411807224,-0.32745867,0.407150281,0.851473188,2.846751535,-0.490541704,1.169553972,0.102758682,0.177810593,0.177810593,1.003890199,0.423616432,0.652196612,0.775486021,1.108809956,0.606897325,1.967926669,-0.463252589,0.315394713,-1.324888229,-1.287563515,-1.287563515,-1.320282303,-1.130212195,-1.623921862
28,정민철,1996,P,1,2.192302109,0.499763859,2.191184501,-0.973623924,0.313400868,3.849296482,4.681010465,1.930180259,2.299703407,-0.220467391,0,2.590434912,2.189998067,2.117915136,2.117915136,2.496454762,2.159047038,2.310382369,1.123347835,1.091410418,1.026823481,3.405803866,-0.350956339,-0.163427881,-0.67266939,-0.757467307,-0.757430804,-0.676631357,-1.458158306,-1.377003401
29,김수경,1998,P,1,2.036035657,0.037515977,0.99490166,-0.507061266,-0.489707005,-0.51538726,-0.359146751,1.507662779,-0.192395949,-0.043342246,0,1.342539405,0.520659912,0.563867554,0.563867554,1.26404531,0.553029558,-0.426972471,1.929198837,0.048637253,0.021253983,2.415975729,-0.350650846,2.559285777,-1.020229578,-1.062496914,-1.062496914,-1.040242119,-1.88056927,-1.082461176
30,위재영,1996,P,1,2.097665885,0.339502031,2.082860549,-1.043212091,-0.780304201,-0.02549203,-0.425546406,1.709033978,0.821878219,-0.444871699,0,1.895033381,1.215766025,1.146036885,1.146036885,1.90252665,1.861555967,1.626269148,1.293718105,0.02570774,0.534983662,1.948112729,1.554235216,0.664606715,-0.863640921,-0.959465338,-0.959432603,-0.91412941,-0.940653157,-0.823222635
31,임창용,2000,P,0,2.15530799,1.659434133,-0.940191094,1.909293339,3.89964234,-0.411807224,-0.32745867,0.178476836,-0.048795025,4.215715023,-0.490541704,0.255198892,-1.0000006,-0.921614333,-0.921614333,0.06149073,-0.418481687,-1.123300403,-0.446768984,1.408554186,0.606897325,0.96669037,1.036222896,-0.064934206,-2.080373766,-1.977605988,-1.977605988,-2.053120731,-2.114340786,-2.387985763
32,이강철,1998,P,1,1.952796546,-0.028460396,1.776268122,-0.981558965,-0.579063203,1.506516605,2.826328782,2.138777431,1.503538714,-0.383412175,0,1.690567463,1.122573638,1.139012459,1.139012459,1.700462485,1.592917486,1.630564161,0.854187414,3.443005525,2.189160235,2.238368864,-0.350650846,-0.090939089,-0.793962597,-0.830362168,-0.830362168,-0.911419565,-1.022978598,-0.867737255
33,송진우,1996,P,1,2.008944424,0.419632945,2.299508453,-1.112800259,-0.415735845,1.911902226,-0.425546406,2.372472821,1.413008294,-0.444871699,0,2.476974662,2.343824179,2.07163522,2.07163522,2.523657576,2.414039385,2.76645785,3.167791078,1.357836087,2.502342937,2.441485114,-0.350956339,3.976745098,-0.537141206,-0.722839073,-0.722801924,-0.637048348,-0.450871497,-0.454035458
34,박석진,1999,P,0,1.769584411,0.143487485,0.772400628,-0.247138377,-0.213416899,1.20825385,2.874797873,1.46443717,-0.332591408,-0.027539623,0,1.32826501,0.668433897,0.672782144,0.672782144,1.191852129,0.78951392,0.520296322,0.600237597,2.278897728,-0.065101352,1.077427967,-0.57116442,-0.132887579,-0.961607647,-0.962146541,-0.962146541,-0.965642598,-0.747447359,-1.235262224
35,이대진,1998,P,1,1.893340038,-0.226389513,1.776268122,-1.139724865,-0.668419401,0.83254865,1.233591015,1.507662779,1.503538714,-0.383412175,0,1.690567463,1.261476805,1.180094238,1.180094238,1.70487074,1.749881701,1.459102775,1.263715576,1.09305826,0.563230546,2.748988599,-0.350650846,1.234173344,-0.696991034,-0.798121231,-0.798121231,-0.879213927,-1.402923832,-0.481234198
36,김수경,2000,P,1,2.042676652,0.032774687,2.229621413,-1.187015027,-0.737637265,0.665901043,-0.32745867,3.151231628,1.151562592,-0.347496604,-0.490541704,2.430101398,1.799311425,1.748417631,1.748417631,2.357079179,1.876235686,1.136423071,2.926654828,-0.389911193,-0.680143554,2.84706098,-0.463252589,2.597368228,-0.738631453,-0.81455053,-0.81455053,-0.712424072,-0.796878318,-0.699002404
37,최원호,1998,P,0,1.863611784,0.499350584,0.799560044,-0.032563568,-0.042926017,0.158580695,1.233591015,1.086919678,0.049880431,-0.21337721,0,1.178547126,0.613262024,0.440622217,0.440622217,1.167063716,0.67075272,1.287641389,2.389918019,0.048637253,0.021253983,1.172727678,-0.350650846,0.902895236,-0.839215994,-1.056048727,-1.056048727,-1.033800991,0.138568262,-0.39534463
38,한용덕,1998,P,0,1.845774832,1.620948916,-0.76317288,1.707261328,0.582567367,-0.51538726,-0.359146751,0.455805026,-0.43467233,0.296727683,0,0.817764112,-0.220156981,-0.175604467,-0.175604467,0.660114472,0.396065343,0.087411687,-0.067250948,1.09305826,3.273113361,0.817513949,-0.350650846,-0.090939089,-1.343468123,-1.41714722,-1.41714722,-1.394504141,-1.337790363,-1.597798585
39,구대성,1999,P,0,1.715523332,1.416699765,-0.390569096,1.44262796,3.409296574,-0.372272808,-0.287479787,0.815364285,1.298904282,3.971213638,0,0.791976675,-0.028811806,-0.058728095,-0.058728095,0.722170165,0.264823225,0.381320925,0.778906107,0.045126688,2.799358144,1.931624002,0.685397304,0.451817768,-1.182762486,-1.228140915,-1.228140915,-1.21510784,-1.532327898,-1.033202142
40,주형광,2000,P,1,1.986360983,-0.179398285,1.464494256,-0.948837461,-0.536016412,0.665901043,-0.32745867,0.864497172,0.551383783,-0.347496604,-0.490541704,1.497418488,0.823793598,0.68825788,0.68825788,1.385682804,1.223609644,1.45924071,0.873266421,-0.389911193,0.606897325,1.748143091,-0.463252589,-0.064934206,-0.88972856,-1.042709735,-1.042709735,-1.064640991,-0.73338615,-1.02071352
41,이강철,1997,P,1,2.025205479,0.136197865,1.712048314,-0.81643164,-0.051423401,2.852589044,3.524797922,1.528461024,-0.325748133,-0.078980991,0,1.652912457,0.970714665,1.081293296,1.081293296,1.599942059,1.227433531,1.336932936,1.633897777,2.544509569,4.302273374,2.022973452,1.465447277,-0.634080133,-0.795162201,-0.748623633,-0.748589142,-0.792451386,-0.710359206,-0.845822956
42,김상엽,1997,P,1,1.999206525,-0.195640153,1.607154571,-1.04529121,-0.814480314,-0.43446246,-0.299275295,1.755264918,0.460147712,-0.381741456,0,1.420910586,1.067743945,0.909124754,0.909124754,1.383235446,1.184405073,0.949171807,1.738751708,1.544104097,-0.901177333,0.82445967,1.465447277,1.729042584,-0.608848798,-0.733479083,-0.733444402,-0.782584354,-0.003628059,-0.525857035
43,김원형,1998,P,0,1.720916165,1.291067053,0.11586439,0.969153797,1.922910333,-0.51538726,-0.359146751,1.507662779,0.534433192,1.827042364,0,1.160325762,0.196552521,0.481703996,0.481703996,1.070082121,0.906199043,0.258873073,0.598232314,0.309742504,1.647183672,1.106125104,2.400609636,2.559285777,-1.17538408,-1.004463228,-1.004463228,-1.00803648,-1.153245535,-0.996571607
44,임창용,1997,P,0,1.999206525,2.392696383,-0.910295268,2.559247017,4.431535965,-0.43446246,-0.299275295,2.208872706,0.984078275,3.554144587,0,1.12704155,0.048936506,0.263492724,0.263492724,0.935689179,0.43140706,-0.21411158,0.375650605,0.293597258,2.134168913,1.814536272,-0.494162454,-0.634080133,-1.136736772,-1.031321897,-1.031290958,-1.053927739,-1.689565011,-1.592410104
45,노장진,1999,P,1,1.580370636,0.143487485,2.252543914,-0.964008945,-0.492087166,1.20825385,2.874797873,2.329867683,1.298904282,-0.360769061,0,2.067973058,1.907981814,1.891965876,1.891965876,2.196449664,1.857634263,0.937222514,3.190930989,2.278897728,0.651013522,2.739647278,0.685397304,1.62122846,-0.614078615,-0.601767065,-0.601767065,-0.703492682,-0.714744003,-0.167230363
46,구자운,2000,P,0,1.82992857,0.952190896,-0.284367817,0.956583073,0.47208785,-0.411807224,-0.32745867,0.407150281,0.551383783,0.108824559,3.924333635,0.456805023,-0.70310387,-0.568227749,-0.568227749,0.317630073,-0.123747345,-0.639073944,0.286584019,0.209577266,-0.036623114,1.06437196,-0.463252589,-1.205920963,-1.784223436,-1.627019893,-1.627019893,-1.587285451,-1.495292156,-1.543494083
47,박석진,2000,P,0,1.786127494,0.810742248,-0.612279455,1.016127464,1.278571259,-0.411807224,-0.32745867,0.635823727,0.551383783,0.86935983,1.716895965,0.375348,-0.533448596,-0.646758101,-0.646758101,0.269301895,0.023619825,-0.639073944,-0.300098383,1.408554186,1.893938204,0.234078445,-0.463252589,-0.825592044,-1.500160874,-1.671538762,-1.671538762,-1.700903812,-1.090529591,-1.583707973
48,이상목,1999,P,1,1.504685126,0.027740914,1.829645832,-0.861598864,-0.306306988,1.20825385,-0.287479787,2.113510055,1.026988334,-0.027539623,0,1.770240569,1.559358963,1.404292384,1.404292384,1.609347209,1.501594148,2.18800109,-0.069769315,0.789717034,-0.781216226,1.977796761,0.685397304,1.036523114,-0.641158799,-0.721893557,-0.721893557,-0.716177356,-0.89461246,-1.321859402
49,박명환,1998,P,1,1.572274894,-0.028460396,1.776268122,-0.981558965,-0.400350807,2.854452515,1.233591015,1.92840588,1.503538714,-0.383412175,0,1.834516242,1.354078917,1.344421354,1.344421354,1.942916472,1.475194324,-0.084049699,4.181603724,0.831953008,0.021253983,2.704586883,-0.350650846,4.878232534,-0.722850118,-0.765880295,-0.765880295,-0.660215586,-0.957845129,0.291771915
50,문동환,1998,P,0,1.548492291,-0.028460396,0.311206005,-0.190729467,0.939992158,2.854452515,4.419066548,1.507662779,0.049880431,0.636797612,0,0.908870934,0.474358856,0.31737688,0.31737688,0.805586863,0.729614301,-0.255511085,0.444659253,-0.995783754,2.189160235,0.595505369,2.400609636,0.571617128,-0.761638743,-0.972222291,-0.972222291,-1.00803648,-1.207523426,-0.910682039
51,김원형,1997,P,1,1.810714108,0.069830261,2.026729544,-1.04529121,-0.432951857,1.537768443,-0.299275295,1.074853236,1.246043557,-0.381741456,0,1.552378313,0.679626826,1.03825116,1.03825116,1.515143819,1.421061591,1.143052372,0.742639363,0.543698626,-0.033935548,0.772350375,-0.494162454,0.378686746,-0.919371136,-0.718334533,-0.718299662,-0.718448645,-0.369765882,-0.881374725
52,송진우,1999,P,1,1.412781293,0.259234056,1.829645832,-0.656778702,0.529703814,5.949833824,6.037075533,2.329867683,0.211240489,0.638919254,0,2.032836926,1.598094835,1.857132055,1.857132055,1.97900431,1.857634263,1.910050295,1.359578764,-0.451266877,0.651013522,1.793105726,0.685397304,1.036523114,-0.772046357,-0.606057297,-0.606057297,-0.602015295,-0.600282258,-0.773410608
53,정민태,1997,P,1,1.7587162,0.202565468,2.341410774,-1.102506102,-0.051423401,4.824819946,1.612761313,1.982068812,2.293904683,-0.381741456,0,2.751054643,2.280609944,2.544725897,2.544725897,2.63165398,2.496773038,1.530813501,1.162055087,0.543698626,-0.033935548,2.830667522,1.465447277,0.041097786,-0.619199543,-0.496214469,-0.496176806,-0.452038775,-1.110556361,-1.094685339
54,성영재,1997,P,1,1.745716723,-0.32837536,1.397367085,-1.04529121,-0.7190982,0.222947841,1.612761313,0.167637661,0.460147712,-0.381741456,0,0.587637201,-0.242151333,-0.2530129,-0.2530129,0.572941152,0.43140706,0.561410678,0.165942743,2.544509569,0.399685344,0.772350375,1.465447277,-0.971669092,-1.084983049,-1.15752648,-1.157497127,-1.142731029,-0.488973545,-0.881374725
55,장문석,2000,P,0,1.642209673,0.810742248,0.699367099,0.301594764,1.581002538,-0.411807224,-0.32745867,1.093170618,1.151562592,1.325680993,-0.490541704,1.248974569,0.569310687,0.491932001,0.491932001,1.216534181,0.949927756,0.167970154,0.922156621,2.307786876,1.893938204,1.919085874,2.535698381,0.315394713,-0.93203575,-1.042709735,-1.042709735,-0.968065384,-1.217513925,-0.940285741
56,정민철,1998,P,1,1.429579275,-0.556271376,1.287914083,-1.139724865,-0.757775598,0.158580695,-0.359146751,1.086919678,0.534433192,-0.383412175,0,1.125705169,0.65956308,0.522785775,0.522785775,1.052449104,0.965060624,0.601795845,0.239895173,-0.734678502,1.105207109,0.839714807,-0.350650846,-0.753495305,-0.761638743,-0.939981354,-0.939981354,-0.911419565,-0.979556285,-1.082461176
57,오봉옥,1999,P,0,1.337095783,1.011586767,-0.602018137,1.186602757,1.551494793,-0.372272808,-0.287479787,0.382649028,1.298904282,0.972148692,0,0.736498571,0.087395811,0.185108652,0.185108652,0.756961421,0.695819153,0.242345528,1.225577381,0.541520252,0.651013522,0.592614001,-0.57116442,0.451817768,-1.0428482,-0.957856309,-0.957856309,-1.020609516,-0.2732487,-0.138364637
58,진필중,1996,P,1,1.494359951,0.499763859,1.54124079,-0.556094918,0.556446439,1.911902226,2.12773203,1.930180259,1.708573331,0.452745535,0,2.074373776,1.779795102,1.701395886,1.701395886,2.020405512,2.435288747,-0.426070515,0.782607294,0.02570774,1.5186633,0.400717523,1.554235216,0.250589417,-0.623386414,-0.7170677,-0.717030444,-0.631393633,-0.783553379,-0.712466482
59,박충식,1998,P,1,1.399851021,-0.490295003,1.385584891,-1.139724865,-0.489707005,2.18048456,-0.359146751,1.297291229,1.261262334,-0.383412175,0,1.326140177,1.076272582,1.056848902,1.056848902,1.286086582,1.553676432,0.944718617,-0.272015029,2.65968977,0.021253983,0.906317381,-0.350650846,-1.084773413,-0.574160387,-0.617571985,-0.617571985,-0.724626863,-0.773300301,-0.867737255
60,송진우,2000,P,1,1.548350225,-0.037949637,1.136582617,-0.651115502,-0.031964281,1.74360931,3.028992695,2.0078644,-0.648973833,0.260931613,-0.122635426,1.208246057,0.526896868,0.68825788,0.68825788,1.168206003,0.90782285,1.620649529,1.215497822,0.209577266,-0.036623114,1.210894346,-0.463252589,0.315394713,-0.944123519,-0.825680247,-0.825680247,-0.854447023,-0.130210562,-0.739216294
61,차명석,1997,P,0,1.622221692,2.658166797,-0.910295268,2.788106587,1.283926197,-0.43446246,-0.299275295,1.528461024,-0.063782851,0.677920171,0,0.819639072,0.145965786,-0.037802223,-0.037802223,0.695427499,0.582006663,-0.020231015,0.113515777,0.793799994,1.700548021,0.407585311,3.425057009,-0.634080133,-0.898669646,-1.101996463,-1.101966413,-1.009526095,-0.786992703,-1.094685339
62,김기덕,1996,P,0,1.447041838,1.381203913,0.133029415,1.114021104,1.164060366,0.458856534,0.851092812,1.045595135,-0.064816894,0.452745535,0,0.632330602,-0.066118241,-0.05724095,-0.05724095,0.610392973,0.501596787,-0.198032775,0.044336123,2.423538764,2.010503119,0.33343947,-0.350956339,-0.163427881,-1.060772824,-1.103749647,-1.103719602,-1.100735023,-0.737347562,-1.044734941
63,김현욱,2000,P,0,1.48577726,2.437401695,-0.940191094,2.564281647,1.480192112,-0.411807224,-0.32745867,-0.05019661,0.851473188,-0.043282495,3.188521078,0.67877541,-0.024482773,0.02074989,0.02074989,0.568936598,0.486773791,-0.316256305,-0.104537582,0.509321496,0.606897325,1.210894346,-0.463252589,-1.205920963,-1.10126451,-1.076098887,-1.076098887,-1.172578434,-1.566720844,-1.221782968
64,김상진,1997,P,1,1.576723522,0.136197865,1.607154571,-0.759216747,-0.337569743,0.222947841,-0.299275295,1.074853236,1.508008838,-0.230361223,0,1.362910118,1.213287865,0.95216689,0.95216689,1.387946459,1.335004675,0.755291243,1.319335984,3.044712305,0.399685344,1.058951497,-0.494162454,-0.296491173,-0.479464491,-0.662804517,-0.662768948,-0.708581612,-0.276102718,-0.454753497
65,김태석,1996,P,0,1.40563849,0.900418429,0.241353367,0.626903931,0.677969224,1.427553662,0.851092812,0.824448854,-0.064816894,-0.444871699,0,0.921471239,0.549186206,0.544397968,0.544397968,0.873353511,1.096578928,-0.198032775,-0.012453967,1.890687426,0.043143844,0.019475226,-0.350956339,1.492641311,-0.721952365,-0.769010051,-0.768973764,-0.857582255,-0.469353824,-0.7493852
66,오봉옥,2000,P,0,1.454490777,1.376536838,-0.940191094,1.671115772,0.774519128,-0.411807224,-0.32745867,-0.05019661,0.851473188,0.86935983,2.452708522,0.762268858,-0.10931041,0.138545417,0.138545417,0.796079034,0.465721338,0.006561334,0.922156621,0.209577266,1.893938204,1.332996333,-0.463252589,-0.064934206,-1.270493271,-1.0204503,-1.0204503,-1.104407417,-1.074656549,-0.699002404
67,김수경,1999,P,1,1.212755302,0.548600483,1.935370353,-0.451958539,0.529703814,1.998517179,2.874797873,1.248079541,1.842736178,-0.194154342,0,1.995851524,1.67556658,1.822298235,1.822298235,2.126867151,1.857634263,1.076197911,3.503600881,0.29332347,-0.781216226,2.993597451,0.685397304,0.744170441,-0.70885926,-0.601767065,-0.601767065,-0.580874173,-0.755623198,0.005963993
68,김용수,1998,P,1,1.274992354,0.037515977,1.483255699,-0.770671099,-0.31099461,0.158580695,-0.359146751,2.769892083,0.292156812,-0.043342246,0,1.61585987,1.354078917,1.303339575,1.303339575,1.647563434,1.808743282,0.430334459,0.751805374,0.570847756,0.563230546,1.26153111,-0.350650846,-0.422217197,-0.574160387,-0.636916547,-0.636916547,-0.524951905,-1.044689754,-0.524178982
