Rank,Name,Year,Position,Binary_SP,WAR_z,경기_z,경기(선발)_z,경기(구원)_z,경기(마무리)_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,실점_z,rRA_z,상대 타자 수_z,피안타_z,피홈런_z,4구_z,몸에 맞는 공_z,고의사구_z,삼진_z,보크_z,폭투_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
3383,정성종,2019,P,0,-0.718163346,-0.022456081,-0.737626478,0.313464785,0.698033039,-0.319806661,-0.243367873,-0.699765521,-0.811473227,-0.318838974,-0.556086332,-0.373666563,-0.041192752,-0.04707167,0.036836523,-0.305402493,-0.107594926,0.145174028,-0.050268369,0.093198701,1.78467483,-0.693866575,-0.403881284,0.302112306,0.489962347,0.517090078,0.610236366,0.544486787,1.073945239,1.000329168
3384,김현수,2020,P,0,-0.629961092,-1.029438518,-0.290812397,-0.649011678,-0.416480204,-0.225902401,-0.157727768,-0.619565179,-0.425547709,-0.298650186,-0.602979306,-0.614415422,-0.252992782,-0.314352566,-0.286527183,-0.513375444,-0.472499544,-0.734138666,0.369839056,-0.417914348,-0.718561278,-0.730137112,-0.41483197,-0.686441287,1.00970309,0.885677334,1.080771128,1.073014136,1.198589589,2.21709675
3385,황인준,2019,P,0,-0.718163346,-1.482396835,-0.547906667,-0.921544578,-0.662016592,-0.319806661,-0.243367873,-0.941839416,-1.10151151,-0.318838974,-0.556086332,-1.130607607,-1.071267396,-1.092474058,-1.152766473,-1.146401801,-1.090123447,-0.747829236,-1.200157304,-1.063097043,0.175830032,-1.023283575,-0.403881284,-0.360002089,0.982052267,0.705936729,0.823732275,0.82697439,0.368499423,0.702293325
3386,배민서,2020,P,0,-0.635615049,-1.150897451,-0.68432092,-0.556263407,0.542828132,-0.225902401,-0.157727768,-0.87460707,-1.048671139,-0.298650186,-0.602979306,-1.021558802,-0.93600666,-0.940410947,-0.986832072,-1.033700049,-0.970293497,-0.517905295,-1.061796,-1.04555128,-0.718561278,-0.989814606,-0.41483197,-1.022289649,1.104498895,1.165831196,1.175624745,0.910093809,1.724987541,0.812590257
3387,최금강,2017,P,0,-0.683779671,0.408693547,0.499671007,0.082765061,0.15999339,-0.319489069,-0.204777587,0.277486139,-0.266133527,-0.341023127,-0.621253819,0.415873808,1.534615305,1.510059687,1.377928668,0.5364309,0.641053242,1.128434982,0.675596139,1.501875236,-0.644481726,-0.077199291,-0.474679373,2.588470483,0.942891619,0.981157527,0.69373105,0.784980745,0.899979689,0.180195923
3388,고효준,2020,P,0,-0.635615049,-0.482873319,-0.68432092,-0.04614792,-0.056739578,-0.225902401,-0.157727768,-0.619565179,-1.048671139,-0.298650186,-0.602979306,-0.976558744,-0.981540918,-1.023885397,-0.986832072,-0.968028011,-1.032517741,-0.734138666,-0.823190157,-0.104095881,-0.718561278,-0.937879107,-0.41483197,-0.686441287,0.261315161,0.025894793,0.661418293,0.558796853,1.564143722,0.159331423
3389,서균,2018,P,0,-0.714430753,1.397568681,-0.709289656,1.429014485,-0.016454152,-0.227179608,-0.146653406,-0.733099228,-0.812792437,-0.11708698,1.4499526,-0.585471056,-0.504138349,-0.51022884,-0.460584401,-0.591208838,-0.637714123,-0.283588837,-0.473816285,0.654747547,-0.714872823,-0.772910719,-0.412907639,-0.127898263,0.178117979,0.191006876,0.503334039,0.537420405,1.610902491,-0.256520575
3390,안성무,2017,P,1,-0.689398847,-1.590512514,-0.471911507,-1.016073193,-0.58121235,-0.319489069,-0.204777587,-0.712758515,-0.895176408,-0.341023127,-0.621253819,-1.169747706,-1.193854084,-1.219262355,-1.275859878,-1.185446063,-1.193466767,-1.076253018,-0.948511696,-0.878769438,-0.644481726,-1.142740125,-0.474679373,-0.875512075,1.136797014,0.873215372,0.713493765,0.678658667,1.795670105,1.640731297
3391,조덕길,2018,P,0,-0.714430753,-0.39615638,-0.709289656,0.031485547,0.519724237,-0.227179608,-0.146653406,-1.000065999,-1.112242283,-0.314671259,-0.599718615,-0.806966065,-0.579460205,-0.580285688,-0.643925707,-0.779566494,-0.710168567,-0.427283985,-0.662875985,-1.057171435,-0.714872823,-0.703667493,-0.412907639,-0.127898263,1.083487752,1.172197257,1.076911027,1.149479938,0.812253521,0.97513364
3392,최충연,2017,P,0,-0.689398847,0.585094081,-0.180436753,0.540614333,-0.157666213,-0.319489069,-0.204777587,-0.217636188,1.306473677,-0.341023127,0.031062691,0.310165707,1.447997229,1.193616552,1.170601438,0.526864917,0.622140665,0.619660828,1.622992376,0.852608507,0.003560673,0.492741155,-0.474679373,1.013932957,1.085769279,0.824150756,0.713493765,0.562210676,0.406939093,1.043239553
