Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,출장 경기_z,타석_z,유효타석_z,타수_z,득점_z,안타_z,2루타_z,3루타_z,홈런_z,루타_z,타점_z,도루_z,도루실패_z,볼넷_z,사구_z,고의사구_z,삼진_z,병살타_z,희생번트_z,희생플라이_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z,WAR2_z
4316,김재현,1996,LF,1.332331994,1.351134387,-0.006474307,1.012834934,1.416883197,1.433612392,1.3935458,1.357761671,1.499242221,1.188235231,-0.797117527,1.07313558,1.354936681,1.509791727,0.076874519,0.862831558,1.415157547,1.668934825,0.75055048,0.512844877,0.668153481,0.164292801,0.045087254,0.941501945,1.186032713,0.730440121,0.942731794,0.892654056,0.996388,1.332331994
4323,김인호,1996,2B,1.268925627,0.521760605,2.468329446,1.199221593,1.527072271,1.47355469,1.333195177,2.077368454,0.861481575,0.811146881,0.907487646,1.07313558,0.999615836,0.446853134,2.000274996,2.362001391,1.742820344,2.616767064,-0.487746454,1.057008525,-0.50745834,2.904696728,0.045087254,-0.315125479,0.504457662,0.161568728,0.303395218,0.296658072,0.293040724,1.268925627
4325,이숭용,1996,1B,1.23193858,1.345783588,-0.317988066,1.230286036,1.157614789,1.094102863,1.069161205,0.782076245,1.167606685,0.936842998,1.47568937,1.247394746,1.290332891,0.909000349,-0.136836645,0.61296992,2.015872675,0.721102585,5.394163984,0.470986135,-0.213555385,-0.566481579,0.045087254,0.874182618,1.537147133,1.17564382,1.3716538,1.041653051,1.153780397,1.23193858
4327,이승엽,1996,1B,1.147396757,1.811303065,-2.100539021,1.16815715,1.559480822,1.613352731,1.73301805,1.357761671,2.06047159,2.696588629,2.612092819,0.724617249,2.00097458,2.249227271,-0.243692227,-0.636338274,0.596000555,0.247186465,0.75055048,0.094257455,1.549862346,-0.749175174,1.491347635,1.390297453,0.814264504,1.311678284,1.177424967,1.023028177,1.168535934,1.147396757
4329,김상호,1996,RF,1.068138797,1.099646853,-0.058393267,1.012834934,1.449291748,1.500182888,1.582141494,1.165866529,1.524752647,2.068108047,-0.797117527,2.64146807,1.920219843,2.203012549,-0.136836645,0.363108281,0.432169157,0.958060645,0.440976246,2.563923243,0.08034757,-0.566481579,2.455521223,0.627345089,0.194650821,1.422979209,1.007474738,0.687780436,0.760299404,1.068138797
4332,김실,1996,LF,0.946609927,1.142453242,-0.594889185,1.230286036,1.449291748,1.400327144,1.431264939,1.165866529,1.626794351,1.062539114,2.612092819,-0.84371524,1.080370574,0.493067855,-0.029981063,1.112693197,1.251326149,-0.463687714,-0.178172221,0.38726865,-0.213555385,2.539309537,-0.43699954,1.121020148,1.000148608,0.161568728,0.497624051,0.762279934,0.838995602,0.946609927
4335,김동수,1996,C,0.899055151,0.227466683,2.208734647,0.733254947,0.788157308,0.787878582,0.759864265,0.686128674,0.580866891,0.056970182,-0.797117527,1.247394746,0.676596886,1.047644513,-0.671114555,0.113246642,0.541390089,1.431976765,-0.178172221,-0.156894998,1.255959391,0.712373587,0.527174048,0.088790478,0.318573558,0.446004425,0.416695371,0.278033198,0.27582593,0.899055151
4342,박정태,1996,2B,0.814513328,1.356485185,-1.702493662,0.298352744,0.917791512,0.960961871,1.031442066,0.973971387,1.397200518,1.816715814,-0.228915803,0.027580587,1.112672469,1.556006449,-0.457403391,-0.886199913,0.486779623,-0.226729654,0.131402013,-0.031318771,1.843765301,-0.566481579,0.045087254,1.524936106,1.082763766,0.878841354,0.99938187,1.023028177,1.178372959,0.814513328
4344,장종훈,1996,1B,0.766958553,0.960526089,-0.594889185,0.174094972,0.496480349,0.514939548,0.450567326,1.021945172,0.478825187,0.936842998,-0.797117527,1.770172242,0.870408256,1.371147563,0.183730101,0.113246642,0.759831953,1.668934825,1.369698947,0.973291041,-0.801361295,-0.931868769,0.527174048,0.560025762,1.103417555,1.633214289,1.501139689,1.041653051,1.188209984,0.766958553
4345,이영우,1996,LF,0.735255369,1.126400846,-1.217916703,0.919641605,0.995572034,0.987590069,0.933372304,1.453709242,0.938012853,1.313931348,0.907487646,0.550358084,0.967313941,0.539282577,0.61115243,1.362554836,1.415157547,-0.463687714,-0.178172221,0.973291041,1.255959391,1.077760777,0.045087254,0.627345089,0.93818724,0.76754043,0.869895981,0.967153553,1.084921223,0.735255369
4350,이명수,1996,2B,0.692984458,0.676933764,0.062750973,0.577932732,0.833529279,0.847792028,0.850390199,0.110443247,0.963523279,0.308362415,-0.797117527,-0.146678578,0.563540254,-0.153938245,-0.671114555,0.61296992,1.08749475,-0.700645774,0.131402013,0.638421103,2.137668256,0.164292801,-0.919086333,0.896622394,1.000148608,0.025534265,0.408602503,0.687780436,0.76275866,0.692984458
4351,심성보,1996,LF,0.65599741,0.939122895,-0.889096624,0.981770491,0.827047569,0.861106127,0.797583404,1.069918958,0.861481575,1.94241193,1.47568937,0.027580587,0.886559204,1.093859234,0.183730101,-0.386476636,0.923663352,-0.463687714,0.440976246,0.638421103,0.374250525,-0.566481579,4.865955191,0.761983741,0.607726609,0.854107816,0.797060169,0.762279934,0.843914115,0.65599741
4352,박현승,1996,3B,0.634861954,1.238767616,-1.927475821,0.733254947,0.950200063,0.947647772,0.940916132,1.597630599,1.116585834,1.439627464,0.907487646,0.550358084,1.096521521,1.093859234,0.397441266,0.61296992,0.923663352,0.247186465,0.131402013,0.638421103,2.431571211,0.712373587,0.045087254,1.053700822,1.082763766,1.027242587,1.096496287,1.023028177,1.153780397,0.634861954
4353,김기태,1996,1B,0.603158771,1.292275602,-2.18707062,0.205159415,0.665004814,0.594824143,0.60898771,0.878023816,0.861481575,0.811146881,0.907487646,1.247394746,1.048068679,1.186288677,-0.350547809,0.61296992,1.688209878,-0.937603834,5.703738218,0.345409908,1.255959391,-0.931868769,0.045087254,1.255658801,1.743685027,1.670314597,1.776297202,1.376900792,1.525128085,0.603158771
4354,심정수,1996,RF,0.597874907,0.650179771,-0.144924866,0.702190504,1.047425716,1.047503516,1.069161205,1.069918958,0.861481575,0.685450765,0.907487646,2.292949739,1.322634786,1.232503399,-0.243692227,0.363108281,0.923663352,0.958060645,2.298421648,1.894183368,0.08034757,-0.566481579,1.009260841,0.156109805,0.339227347,1.249844437,0.950824662,0.538781441,0.575855188,0.597874907
4355,류중일,1996,SS,0.545036267,0.125801509,1.360724969,0.826448276,0.969645193,0.954304821,0.94845996,0.39828596,0.733929446,0.308362415,0.339285922,-0.495196909,0.385879832,0.354423691,0.718008012,0.363108281,0.923663352,0.010228405,-0.178172221,1.098867267,0.374250525,1.260454372,0.045087254,0.088790478,0.256612189,-0.518603589,-0.23882694,0.054534704,0.012685516,0.545036267
4357,전준호,1996,LF,0.497481492,0.660881368,-0.525663905,0.577932732,0.736303626,0.701336937,0.714601299,0.973971387,0.759439872,0.182666299,4.316697992,-0.495196909,0.611993096,-0.246367688,1.67970825,1.362554836,0.814442419,-0.937603834,0.131402013,-0.115036255,-0.213555385,1.443147967,0.045087254,0.694664415,0.649034188,0.384170578,0.50571692,0.650530687,0.698817998,0.497481492
